Kind,Name,CountClassCoupled,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"IncludeTest.java",,76,,,,14
File,"InitConfig.java",,120,,,,23
File,"InitException.java",,38,,,,8
File,"InitUtils.java",,16,,,,3
File,"InitializeClassTest.java",,35,,,,4
File,"InnerClassFilenameFilter.java",,20,,,,4
File,"Input.java",,41,,,,8
File,"InputHandler.java",,5,,,,0
File,"InputRequest.java",,23,,,,6
File,"InputRequest.java",,23,,,,6
File,"InputRequest.java",,6,,,,1
File,"InputService.java",,6,,,,0
File,"InputTest.java",,48,,,,10
File,"IntegerCPInfo.java",,14,,,,3
File,"InterfaceMethodRefCPInfo.java",,50,,,,8
File,"IntrospectionHelper.java",,428,,,,91
File,"IntrospectionHelper.java",,459,,,,99
File,"IntrospectionHelperTest.java",,135,,,,23
File,"IsFalse.java",,15,,,,3
File,"IsSet.java",,14,,,,3
File,"IsTrue.java",,15,,,,3
File,"JAXPUtils.java",,70,,,,15
File,"JAXPUtilsTest.java",,19,,,,3
File,"JDBCTask.java",,193,,,,44
File,"JDependTask.java",,214,,,,47
File,"JJTree.java",,128,,,,23
File,"JUnitClassLoaderTest.java",,12,,,,2
File,"JUnitHelper.java",,78,,,,16
File,"JUnitReportTest.java",,21,,,,5
File,"JUnitResultFormatter.java",,11,,,,0
File,"JUnitTask.java",,50,,,,1
File,"JUnitTest.java",,67,,,,15
File,"JUnitTestRunner.java",,342,,,,69
File,"JUnitTestRunnerTest.java",,100,,,,29
File,"JUnitVersionHelper.java",,39,,,,6
File,"JUnitVersionHelperTest.java",,47,,,,12
File,"JakartaOroMatcher.java",,65,,,,15
File,"JakartaOroMatcherTest.java",,9,,,,2
File,"JakartaOroRegexp.java",,48,,,,8
File,"JakartaOroRegexpTest.java",,9,,,,2
File,"JakartaRegexpMatcher.java",,64,,,,15
File,"JakartaRegexpMatcherTest.java",,27,,,,7
File,"JakartaRegexpRegexp.java",,44,,,,8
File,"JakartaRegexpRegexpTest.java",,27,,,,7
File,"Jar.java",,109,,,,15
File,"JarFileIterator.java",,47,,,,8
File,"JarLibAvailableTask.java",,98,,,,17
File,"JarLibDisplayTask.java",,67,,,,10
File,"JarLibManifestTask.java",,180,,,,24
File,"JarLibResolveTask.java",,187,,,,26
File,"JarTest.java",,135,,,,31
File,"Jasper41Mangler.java",,42,,,,9
File,"JasperC.java",,80,,,,10
File,"Java.java",,292,,,,67
File,"JavaCC.java",,175,,,,38
File,"JavaClassHelper.java",,35,,,,5
File,"JavaEnvUtils.java",,165,,,,29
File,"JavaEnvUtilsTest.java",,94,,,,14
File,"JavaTest.java",,101,,,,25
File,"Javac.java",,406,,,,106
File,"Javac12.java",,49,,,,5
File,"Javac13.java",,29,,,,3
File,"JavacExternal.java",,16,,,,2
File,"JavacTest.java",,144,,,,9
File,"Javadoc.java",,939,,,,228
File,"Javah.java",,209,,,,49
File,"JbossDeploymentTool.java",,28,,,,5
File,"Jdk14RegexpMatcher.java",,68,,,,16
File,"Jdk14RegexpMatcherTest.java",,39,,,,10
File,"Jdk14RegexpRegexp.java",,55,,,,10
File,"Jdk14RegexpRegexpTest.java",,39,,,,10
File,"Jikes.java",,93,,,,19
File,"Jikes.java",,69,,,,9
File,"JikesOutputParser.java",,81,,,,22
File,"JlinkTask.java",,88,,,,21
File,"JonasDeploymentTool.java",,382,,,,73
File,"JonasHotDeploymentTool.java",,97,,,,22
File,"JspC.java",,317,,,,73
File,"JspCompilerAdapter.java",,10,,,,0
File,"JspCompilerAdapterFactory.java",,43,,,,9
File,"JspMangler.java",,6,,,,0
File,"JspNameMangler.java",,79,,,,14
File,"JspcTest.java",,88,,,,16
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
Public Class,"Junk1",0,9,,1,0,2
File,"Junk1.java",,9,,,,2
File,"Junk1.java",,9,,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
Public Static Method,"Junk1.main",,6,2,,,2
