Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountLine,CountLineCode,Cyclomatic,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic
File,"ExtraAttribute.java",,,,83,27,,,,7
File,"ExtraFieldUtils.java",,,,304,160,,,,29
File,"ExtraFieldUtilsTest.java",,,,212,152,,,,11
File,"FTP.java",,,,2714,1602,,,,355
File,"FTPConfigurator.java",,,,99,59,,,,8
File,"FTPTask.java",,,,988,523,,,,122
File,"FTPTaskConfig.java",,,,28,10,,,,0
File,"FTPTaskMirror.java",,,,24,5,,,,0
File,"FTPTaskMirrorImpl.java",,,,1907,1236,,,,270
File,"FTPTest.java",,,,805,631,,,,80
File,"FacadeTaskHelper.java",,,,160,53,,,,14
File,"FacadeTaskHelperTest.java",,,,65,35,,,,2
File,"FailFast.java",,,,133,74,,,,18
File,"FailTest.java",,,,173,117,,,,17
File,"FailureRecorder.java",,,,456,216,,,,40
File,"FallbackZipEncoding.java",,,,91,29,,,,7
File,"FieldRefCPInfo.java",,,,127,49,,,,8
File,"FileList.java",,,,223,98,,,,24
File,"FileListTest.java",,,,170,121,,,,13
File,"FileNameMapper.java",,,,62,6,,,,0
File,"FileProvider.java",,,,36,5,,,,0
File,"FileResource.java",,,,414,237,,,,65
File,"FileResourceIterator.java",,,,155,63,,,,14
File,"FileResourceTest.java",,,,138,101,,,,13
File,"FileScanner.java",,,,158,18,,,,0
File,"FileSelector.java",,,,61,14,,,,2
File,"FileSet.java",,,,97,37,,,,9
File,"FileSetTest.java",,,,58,27,,,,4
File,"FileSystem.java",,,,71,35,,,,7
File,"FileTokenizer.java",,,,50,14,,,,2
File,"FileUtilities.java",,,,79,30,,,,7
File,"FileUtils.java",,,,1772,686,,,,159
File,"FileUtilsTest.java",,,,709,505,,,,49
File,"FilenameSelector.java",,,,186,91,,,,21
File,"FilenameSelectorTest.java",,,,118,72,,,,8
File,"Files.java",,,,487,263,,,,63
File,"FilesMatch.java",,,,99,35,,,,6
File,"Filter.java",,,,102,41,,,,8
File,"FilterChain.java",,,,415,222,,,,55
File,"FilterMapper.java",,,,92,48,,,,7
File,"FilterSet.java",,,,629,335,,,,79
File,"FilterSetCollection.java",,,,83,24,,,,6
File,"FilterSetTest.java",,,,226,155,,,,20
File,"FilterTest.java",,,,125,85,,,,13
Public Class,"Find",2,0,42,30,24,,3,50,7
Public Class,"Find",5,0,43,44,37,,3,40,12
Public Class,"Find",3,0,44,72,53,,3,60,17
Public Class,"Find",3,0,44,75,53,,3,60,17
Public Class,"Find",3,0,43,41,34,,3,40,12
Public Method,"Find.addFileset",,,,3,3,1,,,1
Public Method,"Find.addPath",,,,3,3,1,,,1
Public Method,"Find.addPath",,,,3,3,1,,,1
Public Method,"Find.addPath",,,,3,3,1,,,1
Public Method,"Find.execute",,,,10,10,4,,,4
Public Method,"Find.execute",,,,33,29,9,,,9
Public Method,"Find.execute",,,,36,29,9,,,9
Public Method,"Find.execute",,,,15,15,5,,,5
Public Method,"Find.execute2",,,,18,18,5,,,5
File,"Find.java",,,,70,44,,,,12
File,"Find.java",,,,96,58,,,,17
File,"Find.java",,,,101,58,,,,17
File,"Find.java",,,,50,26,,,,7
File,"Find.java",,,,65,39,,,,12
Public Method,"Find.setDelimiter",,,,3,3,1,,,1
Public Method,"Find.setDelimiter",,,,3,3,1,,,1
Public Method,"Find.setFile",,,,3,3,1,,,1
Public Method,"Find.setFile",,,,3,3,1,,,1
